title,link,summary,category
Travis Barker Says His Finger Ligament Surgery Was a 'Success' After Postponing Blink-182 Tour,https://www.rollingstone.com/music/music-news/travis-barker-finger-surgery-success-postponed-blink-182-tour-1234690605/,"""It was a hard decision to make but ultimately I couldn’t continue to play the drums without it,"" Barker said",Feeling Better
James Hetfield to Appear Alongside Peter Dinklage in Upcoming Western Thriller,https://www.rollingstone.com/music/music-news/metallica-james-hetfield-western-movie-role-1234690551/,"Production has begun on 'The Thicket,' which also stars Juliette Lewis",Some Kind of Actor
Bonnaroo Pledges to Remain a 'Safe Haven' in Face of Tennessee Anti-Drag Law,https://www.rollingstone.com/music/music-news/bonnaroo-statement-tennessee-anti-drag-law-1234690594/,"""Rest assured The Farm will remain a sanctuary for those freedoms and Bonnaroovians will see no changes in programming or celebration of self-expression""",'A Place for Inclusivity'
Cate Blanchett Suits Up and Gets Down in Sparks' New Music Video,https://www.rollingstone.com/music/music-news/cate-blanchett-sparks-girl-is-crying-in-her-latte-video-1234690536/,"The two-time Oscar-winner shows off her dance skills in the visual for ""The Girl Is Crying in Her Latte""",Cate the Great
Fall Out Boy's Weird Song Titles Are Back on 'So Much (For) Stardust' Tracklist,https://www.rollingstone.com/music/music-news/fall-out-boy-so-much-for-stardust-tracklist-1234690469/,"The album, which also features Ethan Hawke for some reason, will arrive March 24",Baby Annihilation
"Arctic Monkeys, Guns N' Roses, and Elton John Headline 2023 Glastonbury Festival",https://www.rollingstone.com/music/music-news/glastonbury-2023-arctic-monkeys-guns-n-roses-elton-john-headline-1234690447/,"Despite having no female headliners, artists such as Lana Del Rey, Lizzo, Rina Sawayama, Raye, and Carly Rae Jepsen are featured on the lineup",Fest SZN
Taylor Swift Plots a 'Seventies Powder Party' (Not That Kind) in 'Lavender Haze' Behind-the-Scenes Video,https://www.rollingstone.com/music/music-news/taylor-swift-behind-the-scenes-lavender-haze-video-1234690432/,New clip follows the pop star as she pulls double duty as actor and director on theMidnightsvisual,Making the Video
Jeff Goldblum Shows Off His Piano Skills on Jazz Classic 'A Baptist Beat',https://www.rollingstone.com/music/music-news/jeff-goldblum-piano-a-baptist-beat-1234690420/,"Actor takes on Hank Mobley classic on upcoming EPPlays Well With Others, featuring six of what Goldblum considers the best songs ever written",Gold Bop
Kelly Clarkson Continues Hot Streak With Death Cab for Cutie 'You Are a Tourist' Cover,https://www.rollingstone.com/music/music-news/kelly-clarkson-cover-death-cab-for-cutie-you-are-a-tourist-1234690292/,"Earlier this week, theKelly Clarkson Showhost took on songs from Spacehog, MUNA, Ingrid Andress, and Smashing Pumpkins",New Kellyoke
You Can't Walk in Her Crocs: Nicki Minaj Drops First Song of 2023 'Red Ruby Da Sleeze',https://www.rollingstone.com/music/music-news/nicki-minaj-new-song-red-ruby-da-sleeze-1234690245/,"The track marks the rapper's first proper solo single since last year's massive hit, ""Super Freaky Girl""",Return Of the Queen
Conor Oberst Teams Up With the So So Glos to Lament Our Forever War,https://www.rollingstone.com/music/music-news/conor-oberst-so-so-glos-everywhere-is-war-1234690194/,"""The song reflects on a world at war — whether it’s Nazis marching in Charlottesville or a conflict overseas""",Exclusive
'One Day You'll Be Cool': Hear the Big Opener '1973' From the 'Almost Famous' Musical,https://www.rollingstone.com/music/music-news/opening-number-1973-almost-famous-musical-1234690187/,The original cast recording for the show — which wrapped a short Broadway run in January — arrives in April,Sorta All Happening
Loren Gray Is Ready to Come 'Into My Own' on Debut Album 'Guilty',https://www.rollingstone.com/music/music-news/loren-gray-announces-album-guilty-1234690105/,"""I felt my most open, and that was my goal from the beginning of the writing process,"" she tellsRolling Stone",Exclusive
De La Soul's Beloved Albums Are Finally Streaming,https://www.rollingstone.com/music/music-news/de-la-soul-catalog-streaming-1234690167/,"After years of digital purgatory, the rap trio’s first six albums are now available, just weeks after the death of Trugoy the Dove",Bittersweet
Demi Lovato Is 'Still Alive' After Fighting Off Ghostface in 'Scream 6' Music Video,https://www.rollingstone.com/music/music-news/demi-lovato-still-alive-scream-vi-video-1234690064/,"Linkin Park's Mike Shinoda, who co-wrote the song, makes an appearance in the scary movie-themed visual",Final Girl
J-Hope and J. Cole Meet in the Middle for New Song 'On the Street',https://www.rollingstone.com/music/music-news/bts-j-hope-on-the-street-j-cole-1234689975/,The single arrives just days after it was announced the BTS member will soon begin the enlistment process to complete his mandatory military service in South Korea,J-Squared
Dijon Doesn't Know Whether to Bottle It Up or Let It Out on 'Coogie',https://www.rollingstone.com/music/music-news/dijon-new-song-coogie-1234689280/,"The track marks the singer-songwriter's first offering since his acclaimed 2021 album,Absolutely",Dijon Returns
Thalia Helps Kenia Os Heal From an Ex in 'Para No Verte Más' Video,https://www.rollingstone.com/music/music-news/thalia-kenia-os-para-no-verte-mas-video-1234690086/,"""Para No Verte Más"" is a revisit of La Mosca Tse-Tse's 1999 hit single of the same title",Thalia's New Era
Aaron Carter: Police Say 'No Evidence of Foul Play' as Mom Calls for a 'Real Investigation',https://www.rollingstone.com/music/music-news/aaron-carter-police-no-evidence-foul-play-mom-further-investigation-1234689992/,"Singer's mother shares disturbing ""death scene photos"" and laments that bathroom wasn't investigated as ""possible crime scene""",RIP
Ashnikko Enters a 'Post-Apocalyptic Fae World' as She Announces Debut Album 'Weedkiller',https://www.rollingstone.com/music/music-news/ashnikko-announces-debut-album-weedkiller-1234689872/,"The singer announced the album's tracklist, featuring a song with Ethel Cain, along with a U.S. tour",Fairy World
The Lumineers Announce Encore 'Brightside' Tour,https://www.rollingstone.com/music/music-news/the-lumineers-announce-2023-tour-1234689849/,The band will hit the road this fall for a string of shows,Bright Drive
Lea Michele's 'Funny Girl' Sets Final Performance Date,https://www.rollingstone.com/music/music-news/lea-michele-final-performance-date-set-1234689811/,The cast will head on the road for a tour later this year,Last Bow
Boygenius Debut Album Cut 'Cool About It' Live at Tibet House Benefit Concert,https://www.rollingstone.com/music/music-news/boygenius-perform-cool-about-it-at-tibet-house-benefit-concert-1234689623/,"The song will appear on the trio's upcoming albumThe Record, out March 31",Live Debut
"Wayne Shorter, Jazz Legend Who Collaborated With Miles Davis and Joni Mitchell, Dead at 89",https://www.rollingstone.com/music/music-news/wayne-shorter-jazz-legend-dead-obit-1234689732/,Prolific Grammy-winning saxophonist also recorded with Steely Dan and Herbie Hancock in addition to his own renowned albums and work with supergroup Weather Report,Obituary
New Coaches Niall Horan and Chance the Rapper Join 'The Voice' Vets for 'Can't Take My Eyes Off You' Cover,https://www.rollingstone.com/music/music-news/niall-horan-chance-the-rapper-kelly-clarkson-blake-shelton-frankie-valli-cant-take-my-eyes-off-you-cover-1234689638/,"Chance the Rapper, Kelly Clarkson, Niall Horan and Blake Shelton gathered for a performance of Frankie Valli's ""Can't Take My Eyes Off You"" ahead of the show's season 23 premiere",Voices of The Voice
Billie Eilish Explains Her Complicated Relationship With Social Media: 'I Don't Look at It Anymore',https://www.rollingstone.com/music/music-news/billie-eilish-social-media-conan-obrien-podcast-exclusive-clip-1234689503/,"""Anything I read on the internet, I believe.Me,""singer says in exclusive clip of theConan O’Brien Needs a Friendpodcast",Internet Kid
Pulp Bassist Steve Mackey Dead at 56,https://www.rollingstone.com/music/music-news/pulp-bassist-steve-mackey-dead-obit-1234689575/,Mackey appeared on Britpop band's classic Nineties albums in addition to his own production and remix work,Obituary
Hear Ann-Margret and Pete Townshend's New Take on the Everly Brothers' 'Bye Bye Love',https://www.rollingstone.com/music/music-news/ann-margaret-pete-townshends-bye-bye-love-1234688925/,"The Everly Brothers cover appears on Ann-Margret's new LP 'Born To Be Wild,' which also features Joe Perry, Rick Wakeman, and Steve Cropper",Viva Ann-Margret
Phoebe Bridgers Named One of Time's 2023 Women of the Year,https://www.rollingstone.com/music/music-news/phoebe-bridgers-time-2023-women-of-the-year-1234689472/,Singer to perform at March 8 gala in Los Angeles celebrating this year's honorees,Honoree
Jason Derulo Pens First Book 'Sing Your Name Out Loud',https://www.rollingstone.com/music/music-news/jason-derulo-sing-your-name-out-loud-book-1234689408/,"The ""Savage Love"" singer promises to share his ""15 tried-and-true rules"" for success in his new book",Summer Reading
"A Year After Brain Injury, Amy Grant Sets First Solo Musical Return in a Decade",https://www.rollingstone.com/music/music-news/amy-grant-sets-first-musical-return-in-a-decade-1234689251/,"Grant will release the single ""Trees We'll Never See"" on March 24",Welcome Back
Blink-182 Postpone First-Ever Latin America Tour Dates Following Travis Barker Finger Injury,https://www.rollingstone.com/music/music-news/blink-182-postpone-first-ever-latin-america-tour-following-travis-barker-finger-injury-1234689278/,"""This is not something that we could even have saw coming, it's just devastating,"" Tom DeLonge shared",A Little Longer
Raye Relives Her Sexual Assault in Harrowing 'Ice Cream Man' Video,https://www.rollingstone.com/music/music-news/raye-ice-cream-man-video-realease-1234689217/,"""It was the toughest thing I ever filmed. I self-directed it,"" Raye toldRolling Stone. ""I only managed to do about three takes in the whole day""",Grappling With Trauma
"Travis Scott Allegedly Caused $12,000 in Damages During Nightclub Altercation",https://www.rollingstone.com/music/music-news/travis-scott-nebula-nightclub-altercation-report-1234688982/,The rapper has been accused of punching a 52-year-old male at the nightclub Nebula in New York City,Ongoing Investigation
