artist,popularity,followers,genres,number_of_articles,positive_articles,negative_articles,average_sentiment_score
rich homie quan,69,2913209,"atl hip hop,rap,southern hip hop,trap",2,2,0,0.4270833333333333
dom dolla,71,477217,"australian house,deep groove house,house",1,1,0,0.55
bettye lavette,54,48428,soul blues,2,2,0,0.5324675324675324
robert glasper,60,470311,"contemporary jazz,indie jazz,indie soul,jazz,modern jazz piano,neo r&b,neo soul",5,2,2,0.12863636363636363
leonard cohen,67,3495912,"canadian singer-songwriter,melancholia,permanent wave,singer-songwriter",4,2,0,0.11583333333333333
lil uzi vert,87,18148731,"hip hop,melodic rap,philly rap,rage rap,rap,trap",13,9,3,0.13195276945276946
taylor dayne,57,479671,"freestyle,hi-nrg,new romantic,new wave pop,soft rock,synthpop",1,1,0,0.19318181818181818
killer mike,64,467401,"alternative hip hop,atl hip hop,conscious hip hop,hip hop,old school atlanta hip hop,political hip hop,southern hip hop",6,2,4,0.059812409812409796
daniel pemberton,58,125661,"british soundtrack,orchestral soundtrack,soundtrack",1,0,1,-0.07142857142857142
alex gibney,0,2,,1,0,0,0.0
mona lisa,29,13238,contemporary r&b,1,1,0,0.2727272727272727
grohl,0,0,,4,2,1,0.05
jennifer hudson,64,2003714,"dance pop,r&b,urban contemporary",20,13,3,0.18523989898989898
lennon stella,62,388066,"alt z,canadian pop,uk pop",1,0,1,-0.013257575757575774
cynthia erivo,80,307645,pop soul,4,4,0,0.6026988636363636
megan thee stallion,83,9998972,"houston rap,pop,rap,trap queen",16,10,2,0.20834911616161617
sean kelly,5,75,,1,1,0,0.03333333333333333
alesha dixon,40,269158,"europop,talent show",1,0,0,0.0
corey taylor,56,630463,"alternative metal,alternative rock,nu metal,post-grunge",4,3,1,0.42908249158249157
tito jackson,23,15709,,4,2,1,-0.01107954545454546
fleet foxes,66,1397565,"chamber pop,folk,indie folk,indie rock,indietronica,modern rock,seattle indie,singer-songwriter,stomp and holler",1,1,0,0.41071428571428575
sylvia,33,18084,classic country pop,1,1,0,0.5444444444444445
ryan gosling,60,259546,hollywood,7,7,0,0.28679267161410016
jane lynch,26,2654,,1,1,0,0.3285714285714286
backdrop,0,40,,1,1,0,0.07500000000000001
elvis presley,83,10111393,"rock-and-roll,rockabilly",4,3,1,0.07499999999999998
elyanna,71,235551,palestinian pop,3,0,1,-0.0431547619047619
andy taylor,21,7252,,5,3,2,0.1363852813852814
david lee roth,49,686797,"album rock,classic rock,glam metal,hard rock",3,0,3,-0.13901515151515154
budokan,30,45967,"classic thai pop,thai rock",1,1,0,0.25
sabrina carpenter,94,16168228,pop,45,27,10,0.1483896504729838
bad brains,49,478440,"black punk,dc hardcore,hardcore punk,nyhc,punk",2,1,1,-0.0681818181818181
kali uchis,86,8210959,colombian pop,7,3,2,0.04329004329004328
jamie foxx,70,1265933,"contemporary r&b,hip pop,pop rap,r&b,southern hip hop,trap,urban contemporary",2,2,0,0.1090909090909091
eric andre,58,10047,,1,1,0,0.42803030303030304
hayley williams,65,749857,art pop,21,12,5,0.06864100185528757
jessie murph,76,1150367,"modern country pop,singer-songwriter pop",4,2,2,-0.2400162337662338
jerry garcia,51,352652,"country rock,jam band,jamgrass,roots rock",1,0,1,-0.1
bruce jackson,0,10,,2,0,1,-0.125
zakk wylde,57,574685,"groove metal,hard rock,metal,southern metal",3,2,1,0.23611111111111113
bowen yang,22,623,,1,1,0,0.2305194805194805
waxahatchee,57,236030,"alabama indie,bubblegrunge,chamber pop,countrygaze,indie pop,indie rock",2,2,0,0.18896103896103897
kacey musgraves,78,1512687,"classic texas country,contemporary country,country dawn",12,9,0,0.3672002765752766
pete brown,42,1375,,1,1,0,0.04999999999999999
